date,Open_AAPL,High_AAPL,Low_AAPL,Close_AAPL,Adj_Close_AAPL,Volume_AAPL,Open_AMZN,High_AMZN,Low_AMZN,Close_AMZN,Adj_Close_AMZN,Volume_AMZN,Open_MSFT,High_MSFT,Low_MSFT,Close_MSFT,Adj_Close_MSFT,Volume_MSFT,Open_VOO,High_VOO,Low_VOO,Close_VOO,Adj_Close_VOO,Volume_VOO,Open_SPY,High_SPY,Low_SPY,Close_SPY,Adj_Close_SPY,Volume_SPY
2023-06-01,177.6999969482422,180.1199951171875,176.92999267578125,180.08999633789062,177.93014526367188,68901800,120.69000244140625,123.48999786376953,119.93000030517578,122.7699966430664,122.7699966430664,54375100,325.92999267578125,333.5299987792969,324.7200012207031,332.5799865722656,326.3393859863281,26773900,384.20001220703125,388.57000732421875,382.9700012207031,387.57000732421875,373.4402160644531,3563600,418.0899963378906,422.9200134277344,416.7900085449219,421.82000732421875,407.02850341796875,88865000
2023-06-02,181.02999877929688,181.77999877929688,179.25999450683594,180.9499969482422,178.77981567382812,61996900,124.91999816894531,126.38999938964844,124.0199966430664,124.25,124.25,61264400,334.25,337.5,332.54998779296875,335.3999938964844,329.1065368652344,25873800,390.0799865722656,393.9599914550781,389.5400085449219,393.260009765625,378.9228210449219,7368900,424.5,428.739990234375,423.95001220703125,427.9200134277344,412.91461181640625,91426200
2023-06-05,182.6300048828125,184.9499969482422,178.0399932861328,179.5800018310547,177.42625427246094,121946500,123.36000061035156,125.80000305175781,123.02999877929688,125.30000305175781,125.30000305175781,47950100,335.2200012207031,338.55999755859375,334.6600036621094,335.94000244140625,329.6363830566406,21307100,393.5400085449219,394.7699890136719,391.7900085449219,392.5,378.19049072265625,3481200,428.2799987792969,429.6199951171875,426.3699951171875,427.1000061035156,412.1233215332031,65460200
2023-06-06,179.97000122070312,180.1199951171875,177.42999267578125,179.2100067138672,177.0607147216797,64848400,125.06999969482422,127.4000015258789,125.0,126.61000061035156,126.61000061035156,45695200,335.3299865722656,335.3699951171875,332.1700134277344,333.67999267578125,327.4188232421875,20396200,392.04998779296875,393.7900085449219,391.4100036621094,393.30999755859375,378.970947265625,2894700,426.6700134277344,428.5799865722656,425.989990234375,428.0299987792969,413.020751953125,64022200
2023-06-07,178.44000244140625,181.2100067138672,177.32000732421875,177.82000732421875,175.68739318847656,61944600,127.01000213623047,127.37000274658203,120.62999725341797,121.2300033569336,121.2300033569336,95663300,331.6499938964844,334.489990234375,322.5,323.3800048828125,317.3120422363281,40717100,393.6700134277344,394.760009765625,391.5400085449219,392.0199890136719,377.7279052734375,3942900,428.44000244140625,429.6199951171875,426.1099853515625,426.54998779296875,411.5926208496094,85373300
2023-06-08,177.89999389648438,180.83999633789062,177.4600067138672,180.57000732421875,178.4044189453125,50214900,123.01000213623047,125.62999725341797,122.26000213623047,124.25,124.25,62159300,323.94000244140625,326.6400146484375,323.3500061035156,325.260009765625,319.15679931640625,23277700,391.9599914550781,394.7300109863281,391.2900085449219,394.3699951171875,379.9922180175781,3455400,426.6199951171875,429.6000061035156,425.82000732421875,429.1300048828125,414.0821533203125,61952800
2023-06-09,181.5,182.22999572753906,180.6300048828125,180.9600067138672,178.78970336914062,48900000,124.08000183105469,125.80000305175781,123.19000244140625,123.43000030517578,123.43000030517578,51396000,324.989990234375,329.989990234375,324.4100036621094,326.7900085449219,320.6581115722656,22529000,395.04998779296875,396.92999267578125,394.0799865722656,395.0299987792969,380.6282653808594,3060100,429.9599914550781,431.989990234375,428.8699951171875,429.8999938964844,414.82513427734375,85742800
2023-06-12,181.27000427246094,183.88999938964844,180.97000122070312,183.7899932861328,181.58575439453125,54274900,124.0199966430664,126.77999877929688,123.52999877929688,126.56999969482422,126.56999969482422,51338000,328.5799865722656,332.1000061035156,325.1600036621094,331.8500061035156,325.6231384277344,24260300,395.9800109863281,398.69000244140625,395.29998779296875,398.6600036621094,384.1258544921875,3792700,430.9200134277344,433.8800048828125,430.1700134277344,433.79998779296875,418.5884094238281,76104300
2023-06-13,182.8000030517578,184.14999389648438,182.44000244140625,183.30999755859375,181.1115264892578,54929100,128.1199951171875,128.41000366210938,125.18000030517578,126.66000366210938,126.66000366210938,50564800,334.4700012207031,336.9800109863281,330.3900146484375,334.2900085449219,328.0173645019531,22951300,400.0199890136719,401.8500061035156,399.3999938964844,401.2900085449219,386.6600036621094,3913100,435.32000732421875,437.3299865722656,434.6300048828125,436.6600036621094,421.3481140136719,95899700
2023-06-14,183.3699951171875,184.38999938964844,182.02000427246094,183.9499969482422,181.74386596679688,57462900,126.69999694824219,126.94999694824219,124.12000274658203,126.41999816894531,126.41999816894531,52422500,334.3399963378906,339.0400085449219,332.80999755859375,337.3399963378906,331.0101318359375,26003800,401.6099853515625,403.44000244140625,398.4599914550781,401.6000061035156,386.95880126953125,5161300,437.010009765625,439.05999755859375,433.5899963378906,437.17999267578125,421.849853515625,100612100
2023-06-15,183.9600067138672,186.52000427246094,183.77999877929688,186.00999450683594,183.77915954589844,65433200,125.20999908447266,127.69000244140625,124.31999969482422,127.11000061035156,127.11000061035156,60458500,337.4800109863281,349.8399963378906,337.20001220703125,348.1000061035156,341.5682373046875,38899100,401.0,407.92999267578125,400.8900146484375,406.75,391.9209289550781,5285000,436.3299865722656,443.8999938964844,436.2300109863281,442.6000061035156,427.0798034667969,110303100
2023-06-16,186.72999572753906,186.99000549316406,184.27000427246094,184.9199981689453,182.70220947265625,101256200,127.70999908447266,127.9000015258789,125.30000305175781,125.48999786376953,125.48999786376953,84247100,351.32000732421875,351.4700012207031,341.95001220703125,342.3299865722656,335.906494140625,46552000,408.69000244140625,408.760009765625,404.8900146484375,405.25,390.47564697265625,5141900,443.0199890136719,443.6099853515625,438.9700012207031,439.4599914550781,425.6250305175781,114165800
2023-06-20,184.41000366210938,186.10000610351562,184.41000366210938,185.00999450683594,182.79115295410156,49799100,124.97000122070312,127.25,124.5,125.77999877929688,125.77999877929688,56930100,339.30999755859375,342.0799865722656,335.8599853515625,338.04998779296875,331.706787109375,26375400,403.489990234375,404.32000732421875,401.260009765625,403.3800048828125,388.67376708984375,4242900,437.45001220703125,438.3699951171875,435.0299987792969,437.17999267578125,423.4168395996094,76160400
2023-06-21,184.89999389648438,185.41000366210938,182.58999633789062,183.9600067138672,181.7537384033203,49515700,125.63999938964844,126.7300033569336,123.8499984741211,124.83000183105469,124.83000183105469,52137700,336.3699951171875,337.7300109863281,332.07000732421875,333.55999755859375,327.301025390625,25117800,402.30999755859375,403.05999755859375,400.6700134277344,401.1700134277344,386.54437255859375,3423500,436.1600036621094,436.989990234375,434.3299865722656,434.94000244140625,421.24737548828125,76982300
2023-06-22,183.74000549316406,187.0500030517578,183.6699981689453,187.0,184.75726318359375,51245300,125.30999755859375,130.3300018310547,125.13999938964844,130.14999389648438,130.14999389648438,90354600,334.1199951171875,340.1199951171875,333.3399963378906,339.7099914550781,333.33563232421875,23556800,400.2799987792969,402.7200012207031,399.95001220703125,402.6300048828125,387.95111083984375,3141000,433.95001220703125,436.6199951171875,433.6000061035156,436.510009765625,422.76800537109375,70637200
2023-06-23,185.5500030517578,187.55999755859375,185.00999450683594,186.67999267578125,184.44113159179688,53117000,129.11000061035156,130.83999633789062,128.27999877929688,129.3300018310547,129.3300018310547,71927800,334.3599853515625,337.9599914550781,333.45001220703125,335.0199890136719,328.7336730957031,23146900,399.3299865722656,401.2799987792969,398.92999267578125,399.6099853515625,385.041259765625,4215300,432.92999267578125,435.05999755859375,432.4700012207031,433.2099914550781,419.57183837890625,92074500
2023-06-26,186.8300018310547,188.0500030517578,185.22999572753906,185.27000427246094,183.0480194091797,48088700,129.3300018310547,131.49000549316406,127.0999984741211,127.33000183105469,127.33000183105469,59989300,333.7200012207031,336.1099853515625,328.489990234375,328.6000061035156,322.4341125488281,21520600,399.0400085449219,400.8599853515625,397.7300109863281,397.9599914550781,383.4513854980469,3250700,432.6199951171875,434.6099853515625,431.19000244140625,431.44000244140625,417.8575744628906,72823600
2023-06-27,185.88999938964844,188.38999938964844,185.6699981689453,188.05999755859375,185.8045654296875,50730800,128.6300048828125,130.08999633789062,127.55000305175781,129.17999267578125,129.17999267578125,46801000,331.8599853515625,336.1499938964844,329.29998779296875,334.57000732421875,328.2921447753906,24354100,398.79998779296875,402.92999267578125,398.3900146484375,402.3699951171875,387.70062255859375,4302400,432.3500061035156,436.80999755859375,431.8800048828125,436.1700134277344,422.4386901855469,72813700
2023-06-28,187.92999267578125,189.89999389648438,187.60000610351562,189.25,186.9803009033203,51216800,128.94000244140625,131.47999572753906,128.44000244140625,129.0399932861328,129.0399932861328,52149500,334.6600036621094,337.9800109863281,333.80999755859375,335.8500061035156,329.548095703125,20259500,401.3500061035156,403.489990234375,400.7099914550781,402.54998779296875,387.87408447265625,4320700,435.04998779296875,437.44000244140625,434.4100036621094,436.3900146484375,422.6517333984375,75636000
2023-06-29,189.0800018310547,190.07000732421875,188.94000244140625,189.58999633789062,187.3162078857422,46347300,128.77000427246094,129.25999450683594,127.26000213623047,127.9000015258789,127.9000015258789,40761000,334.7099914550781,336.1099853515625,332.6199951171875,335.04998779296875,328.7630920410156,16997000,400.6000061035156,402.6700134277344,400.19000244140625,402.510009765625,389.35992431640625,3914800,435.9599914550781,438.2799987792969,435.5400085449219,438.1099853515625,424.317626953125,67882300
2023-06-30,191.6300048828125,194.47999572753906,191.25999450683594,193.97000122070312,191.64369201660156,85213200,129.47000122070312,131.25,128.9499969482422,130.36000061035156,130.36000061035156,54350700,337.75,342.7300109863281,337.20001220703125,340.5400085449219,334.1500549316406,26832800,405.3999938964844,408.2200012207031,405.2900085449219,407.2799987792969,393.9740295410156,5173700,441.44000244140625,444.29998779296875,441.1099853515625,443.2799987792969,429.3248291015625,104964000
2023-07-03,193.77999877929688,193.8800048828125,191.75999450683594,192.4600067138672,190.15179443359375,31458200,130.82000732421875,131.85000610351562,130.07000732421875,130.22000122070312,130.22000122070312,28264800,339.19000244140625,340.8999938964844,336.57000732421875,337.989990234375,331.64788818359375,12508700,406.9200134277344,408.05999755859375,406.67999267578125,408.05999755859375,394.72857666015625,2372000,442.9200134277344,444.0799865722656,442.6300048828125,443.7900085449219,429.8187561035156,32793400
2023-07-05,191.57000732421875,192.97999572753906,190.6199951171875,191.3300018310547,189.03533935546875,46920300,130.24000549316406,131.39999389648438,129.63999938964844,130.3800048828125,130.3800048828125,35895400,335.0899963378906,341.6499938964844,334.7300109863281,338.1499938964844,331.8049011230469,18172400,406.010009765625,407.8399963378906,406.010009765625,407.1499938964844,393.8482666015625,4230100,441.9100036621094,443.8900146484375,441.8999938964844,443.1300048828125,429.17962646484375,58418400
2023-07-06,189.83999633789062,192.02000427246094,189.1999969482422,191.80999755859375,189.50958251953125,45094300,128.25,128.72999572753906,127.37000274658203,128.36000061035156,128.36000061035156,40639900,337.29998779296875,342.989990234375,335.5,341.2699890136719,334.8663330078125,28161200,403.7799987792969,404.3500061035156,401.55999755859375,403.8299865722656,390.63671875,6040300,439.4200134277344,440.1000061035156,437.05999755859375,439.6600036621094,425.81878662109375,80658300
2023-07-07,191.41000366210938,192.6699981689453,190.24000549316406,190.67999267578125,188.39312744140625,46815000,128.58999633789062,130.97000122070312,128.1300048828125,129.77999877929688,129.77999877929688,41992300,339.32000732421875,341.7900085449219,337.0,337.2200012207031,330.892333984375,21214800,403.0299987792969,406.67999267578125,402.7099914550781,402.8900146484375,389.72747802734375,3673200,438.6300048828125,442.6400146484375,438.29998779296875,438.54998779296875,424.7437438964844,86134200
2023-07-10,189.25999450683594,189.99000549316406,187.0399932861328,188.61000061035156,186.3479766845703,59922200,129.07000732421875,129.27999877929688,125.91999816894531,127.12999725341797,127.12999725341797,61889300,334.6000061035156,335.2300109863281,327.5899963378906,331.8299865722656,325.603515625,32791400,402.6300048828125,404.1099853515625,402.05999755859375,403.9700012207031,390.772216796875,3362300,438.17999267578125,439.8399963378906,437.5899963378906,439.6600036621094,425.81878662109375,62443500
2023-07-11,189.16000366210938,189.3000030517578,186.60000610351562,188.0800018310547,185.8243408203125,46638100,127.75,129.77000427246094,127.3499984741211,128.77999877929688,128.77999877929688,49951500,331.05999755859375,332.8599853515625,327.0,332.4700012207031,326.2315368652344,26698200,404.7699890136719,407.0,403.7699890136719,406.55999755859375,393.277587890625,3177800,440.45001220703125,442.9700012207031,439.44000244140625,442.4599914550781,428.5306091308594,64463800
2023-07-12,189.67999267578125,191.6999969482422,188.47000122070312,189.77000427246094,187.4940643310547,60750200,130.30999755859375,131.25999450683594,128.8300018310547,130.8000030517578,130.8000030517578,54022800,336.6000061035156,341.6499938964844,335.6700134277344,337.20001220703125,330.8727722167969,29995300,410.19000244140625,411.1300048828125,408.7900085449219,409.760009765625,396.373046875,4246400,446.3900146484375,447.4800109863281,444.9100036621094,446.0199890136719,431.9785461425781,91924500
2023-07-13,190.5,191.19000244140625,189.77999877929688,190.5399932861328,188.2548065185547,41342300,134.0399932861328,134.6699981689453,132.7100067138672,134.3000030517578,134.3000030517578,61170900,339.55999755859375,343.739990234375,339.0199890136719,342.6600036621094,336.2303466796875,20567200,411.5400085449219,413.80999755859375,411.1300048828125,413.1000061035156,399.60394287109375,3273400,447.8999938964844,450.3800048828125,447.45001220703125,449.55999755859375,435.4070739746094,72425200
2023-07-14,190.22999572753906,191.17999267578125,189.6300048828125,190.69000244140625,188.40306091308594,41616200,134.05999755859375,136.64999389648438,134.05999755859375,134.67999267578125,134.67999267578125,54487100,347.5899963378906,351.42999267578125,344.30999755859375,345.239990234375,338.7618713378906,28352700,413.94000244140625,414.7099914550781,412.0799865722656,412.7699890136719,399.28472900390625,3680900,450.4800109863281,451.3599853515625,448.489990234375,449.2799987792969,435.13592529296875,69815800
2023-07-17,191.89999389648438,194.32000732421875,191.80999755859375,193.99000549316406,191.6634521484375,50520200,134.55999755859375,135.6199951171875,133.2100067138672,133.55999755859375,133.55999755859375,48450200,345.67999267578125,346.989990234375,342.20001220703125,345.7300109863281,339.2427062988281,20363900,412.6499938964844,415.25,412.6300048828125,414.2099914550781,400.6776123046875,2963700,449.1300048828125,451.92999267578125,449.0799865722656,450.8399963378906,436.6468505859375,52680200
2023-07-18,193.35000610351562,194.3300018310547,192.4199981689453,193.72999572753906,191.40655517578125,48288200,132.7100067138672,133.86000061035156,131.35000610351562,132.8300018310547,132.8300018310547,54882900,345.8299865722656,366.7799987792969,342.1700134277344,359.489990234375,352.7444763183594,64738600,413.9100036621094,417.92999267578125,413.5400085449219,417.3500061035156,403.71502685546875,3594000,450.5,454.8599853515625,450.04998779296875,454.19000244140625,439.8913879394531,80668200
2023-07-19,193.10000610351562,198.22999572753906,192.64999389648438,195.10000610351562,192.7601318359375,80507300,133.38999938964844,135.99000549316406,132.52999877929688,135.36000061035156,135.36000061035156,54531000,361.75,362.4599914550781,352.44000244140625,355.0799865722656,348.417236328125,39732900,418.07000732421875,419.3699951171875,417.489990234375,418.25,404.5856018066406,3494900,455.010009765625,456.42999267578125,454.1099853515625,455.20001220703125,440.8695373535156,65891700
